# Note - Full 9 minute fly of continous maneuvers. Snakes, Wall, Diamond Loops, piro-flips, funnels, piro circles, piro-flip circles, aileron tic-tocs, elevator tic-tocs, continous forward flips, and many combo maneuvers. Motor temperature at end of flight was 125F. Battery was 101F.
# Graph Data - 1 Sessions - Saved Wednesday, September 29, 2010
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.7774      , 85.490      , 39.94       , 0.634       , 17.1        , 107.7       , 97222       
1.7696      , 85.098      , 39.94       , 0.845       , 16.3        , 103.3       , 97222       
1.7696      , 85.098      , 39.94       , 0.845       , 16.3        , 103.3       , 97222       
1.7696      , 85.098      , 39.94       , 0.845       , 17.1        , 103.3       , 96761       
1.7774      , 85.882      , 39.94       , 0.845       , 17.1        , 94.2        , 96305       
1.7852      , 86.667      , 39.94       , 0.845       , 17.9        , 93.4        , 95853       
1.7852      , 87.059      , 39.94       , 1.057       , 19.5        , 103.3       , 95405       
1.7931      , 87.451      , 39.72       , 0.845       , 21.2        , 103.3       , 94522       
1.7931      , 87.843      , 39.72       , 0.845       , 23.6        , 103.3       , 93654       
1.7931      , 87.451      , 39.72       , 1.057       , 26.1        , 102.4       , 92803       
1.7852      , 86.667      , 39.72       , 0.845       , 25.2        , 103.3       , 93227       
1.7774      , 86.275      , 39.94       , 1.057       , 24.4        , 103.3       , 94086       
1.7774      , 85.882      , 39.94       , 0.845       , 22.8        , 102.4       , 94086       
1.7774      , 85.882      , 39.94       , 1.057       , 22.0        , 103.3       , 94086       
1.7696      , 85.490      , 39.94       , 1.057       , 20.4        , 91.8        , 94522       
1.7774      , 85.882      , 39.94       , 1.057       , 20.4        , 102.4       , 94961       
1.7774      , 86.275      , 39.94       , 1.057       , 20.4        , 99.1        , 94522       
1.7774      , 86.275      , 39.94       , 1.057       , 21.2        , 102.4       , 94086       
1.7774      , 86.275      , 39.94       , 0.845       , 21.2        , 103.3       , 94086       
1.7774      , 86.275      , 39.72       , 0.845       , 22.0        , 103.3       , 94086       
1.7852      , 86.275      , 39.72       , 0.845       , 21.2        , 103.3       , 94522       
1.7852      , 86.275      , 39.72       , 1.057       , 21.2        , 102.4       , 94522       
1.7852      , 86.667      , 39.94       , 1.057       , 21.2        , 102.4       , 94522       
1.7852      , 86.667      , 39.72       , 0.845       , 22.0        , 102.4       , 94522       
1.7852      , 86.667      , 39.72       , 0.845       , 22.0        , 100.7       , 94086       
1.7852      , 86.667      , 39.94       , 0.845       , 22.8        , 102.4       , 94086       
1.7852      , 86.667      , 39.72       , 0.845       , 22.8        , 102.4       , 94086       
1.7852      , 86.667      , 39.72       , 0.845       , 22.0        , 101.6       , 94086       
1.7852      , 86.667      , 39.94       , 1.057       , 22.8        , 102.4       , 94522       
1.7852      , 86.667      , 39.72       , 0.845       , 22.8        , 102.4       , 94522       
1.7852      , 87.059      , 39.72       , 0.845       , 22.8        , 101.6       , 94086       
1.7852      , 87.059      , 39.72       , 1.057       , 22.8        , 102.4       , 94086       
1.7852      , 87.059      , 39.72       , 0.845       , 22.8        , 102.4       , 94086       
1.7852      , 87.059      , 39.72       , 0.845       , 22.8        , 103.3       , 94086       
1.7852      , 87.059      , 39.72       , 0.845       , 22.8        , 101.6       , 94086       
1.7852      , 87.059      , 39.72       , 0.845       , 22.8        , 102.4       , 94086       
1.7852      , 87.059      , 39.72       , 0.845       , 22.8        , 102.4       , 93654       
1.7852      , 87.059      , 39.72       , 0.845       , 22.8        , 102.4       , 94086       
1.7852      , 87.059      , 39.72       , 0.845       , 23.6        , 102.4       , 93654       
1.7852      , 86.667      , 39.72       , 0.845       , 22.8        , 102.4       , 94086       
1.7852      , 86.667      , 39.72       , 0.845       , 22.8        , 102.4       , 94086       
1.7774      , 86.275      , 39.72       , 1.057       , 22.8        , 101.6       , 94086       
1.7774      , 86.275      , 39.94       , 1.057       , 21.2        , 102.4       , 94522       
1.7774      , 85.490      , 39.94       , 1.057       , 20.4        , 103.3       , 94522       
1.7696      , 85.098      , 39.94       , 1.057       , 20.4        , 102.4       , 94522       
1.7696      , 85.098      , 39.94       , 1.057       , 19.5        , 102.4       , 94961       
1.7696      , 85.098      , 39.94       , 0.845       , 18.7        , 102.4       , 95405       
1.7696      , 85.098      , 39.94       , 0.845       , 18.7        , 105.0       , 95853       
1.7696      , 85.098      , 39.94       , 0.845       , 17.9        , 102.4       , 95853       
1.7774      , 85.882      , 39.94       , 1.057       , 17.9        , 89.5        , 95405       
1.7774      , 85.882      , 39.94       , 0.845       , 17.9        , 95.0        , 95853       
1.7774      , 86.275      , 39.94       , 0.845       , 18.7        , 105.9       , 95405       
